EN2220,"Aeronáutica I-A A-diurno (São Bernardo do 
Campo)","terca das 08:00 às 10:00, sala A2-S305-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S305
SB, semanal",0,FERNANDO MADEIRA
BC1425,"Álgebra Linear A-diurno (São Bernardo do 
Campo)","segunda das 08:00 às 10:00, sala A1-S205-SB, 
semanal , quarta das 10:00 às 12:00, sala A1-
S205-SB, semanal , sexta das 08:00 às 10:00, sala 
A1-S205-SB, semanal",0,ANTONIO CANDIDO FALEIROS
BC1425,"Álgebra Linear A-Noturno (São Bernardo do 
Campo)","segunda das 19:00 às 21:00, sala A1-S205-SB, 
semanal , quarta das 21:00 às 23:00, sala A1-
S205-SB, semanal , sexta das 19:00 às 21:00, sala 
A1-S205-SB, semanal",0,JOAO PAULO PITELLI MANOEL
EN3528,"Análise de Redes de Transporte e Distribuição A
Noturno (São Bernardo do Campo)","quarta das 19:00 às 23:00, sala A2-S202-SB, 
semanal",0,CAROLINA CORREA DE CARVALHO
NH5130,"Antropologia Filosófica A-Noturno (São 
Bernardo do Campo)","quinta das 19:00 às 23:00, sala A1-S103-SB, 
semanal",0,MARILIA MELLO PISANI
BH1122,"Avaliação e Monitoramento de Políticas 
Públicas A-diurno (São Bernardo do Campo)","terca das 08:00 às 10:00, sala A2-S302-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S302
SB, semanal",0,GABRIELA SPANGHERO LOTTA
BH1122,"Avaliação e Monitoramento de Políticas 
Públicas A-Noturno (São Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S302-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S302
SB, semanal",0,GABRIELA SPANGHERO LOTTA
BC0001,"Base Experimental das Ciências Naturais A1-
diurno (São Bernardo do Campo)",0,"quinta das 08:00 às 11:00, sala A1-L301-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais A2-
Noturno (São Bernardo do Campo)",0,"quinta das 19:00 às 22:00, sala A1-L302-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais A3-
diurno (São Bernardo do Campo)",0,"quinta das 08:00 às 11:00, sala A1-L305-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais A3-
Noturno (São Bernardo do Campo)",0,"quinta das 19:00 às 22:00, sala A1-L305-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais B1-
diurno (São Bernardo do Campo)",0,"segunda das 08:00 às 11:00, sala A1-L301-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais B1-
Noturno (São Bernardo do Campo)",0,"segunda das 19:00 às 22:00, sala A1-L301-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais B2-
diurno (São Bernardo do Campo)",0,"segunda das 08:00 às 11:00, sala A1-L302-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais B2-
Noturno (São Bernardo do Campo)",0,"segunda das 19:00 às 22:00, sala A1-L302-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais B3-
diurno (São Bernardo do Campo)",0,"segunda das 08:00 às 11:00, sala A1-L305-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais C1-
diurno (São Bernardo do Campo)",0,"segunda das 14:00 às 17:00, sala A1-L301-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais C1-
Noturno (São Bernardo do Campo)",0,"sabado das 08:00 às 11:00, sala A1-L301-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais C2-
diurno (São Bernardo do Campo)",0,"segunda das 14:00 às 17:00, sala A1-L302-SB, 
semanal",0
BC0001,"Base Experimental das Ciências Naturais C2-
Noturno (São Bernardo do Campo)",0,"sabado das 08:00 às 11:00, sala A1-L302-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A1-diurno 
(São Bernardo do Campo)",0,"terca das 10:00 às 12:00, sala A1-L102-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A1-Noturno 
(São Bernardo do Campo)",0,"terca das 21:00 às 23:00, sala A1-L102-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A2-diurno 
(São Bernardo do Campo)",0,"terca das 10:00 às 12:00, sala A2-L001-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A2-Noturno 
(São Bernardo do Campo)",0,"terca das 21:00 às 23:00, sala A2-L001-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A3-Noturno 
(São Bernardo do Campo)",0,"terca das 21:00 às 23:00, sala A1-L002-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A4-diurno 
(São Bernardo do Campo)",0,"terca das 10:00 às 12:00, sala A2-L003-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência A4-Noturno 
(São Bernardo do Campo)",0,"terca das 21:00 às 23:00, sala A2-L003-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência B1-diurno 
(São Bernardo do Campo)",0,"terca das 08:00 às 10:00, sala A1-L002-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência B1-Noturno 
(São Bernardo do Campo)",0,"terca das 19:00 às 21:00, sala A1-L102-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência B2-diurno 
(São Bernardo do Campo)",0,"terca das 08:00 às 10:00, sala A2-L001-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência B2-Noturno 
(São Bernardo do Campo)",0,"terca das 19:00 às 21:00, sala A2-L001-SB, 
semanal",0
BC0005,"Bases Computacionais da Ciência B3-Noturno 
(São Bernardo do Campo)",0,"terca das 19:00 às 21:00, sala A1-L101-SB, 
semanal",0
BC0004,"Bases Epistemológicas da Ciência Moderna A-
diurno (São Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S101-SB, 
quinzenal I, quarta das 08:00 às 10:00, sala A2-
S101-SB, semanal",0,RENATO RODRIGUES KINOUCHI
BC0004,"Bases Epistemológicas da Ciência Moderna A-
Noturno (São Bernardo do Campo)","segunda das 21:00 às 23:00, sala A1-S206-SB, 
quinzenal I, quarta das 19:00 às 21:00, sala A1-
S206-SB, semanal",0,RENATO RODRIGUES KINOUCHI
BC0003,"Bases Matemáticas A1-diurno (São Bernardo 
do Campo)","quarta das 08:00 às 10:00, sala A1-S201-SB, 
semanal , sexta das 10:00 às 12:00, sala A1-S201-
SB, semanal",0,MAURICIO FIRMINO SILVA LIMA
BC0003,"Bases Matemáticas A1-Noturno (São Bernardo 
do Campo)","quarta das 19:00 às 21:00, sala A2-S101-SB, 
semanal , sexta das 21:00 às 23:00, sala A2-S101-
SB, semanal",0,EDUARDO GUERON
BC0003,"Bases Matemáticas A2-diurno (São Bernardo 
do Campo)","quarta das 08:00 às 10:00, sala A1-S202-SB, 
semanal , sexta das 10:00 às 12:00, sala A1-S202-
SB, semanal",0,GISELE CRISTINA DUCATI
BC0003,"Bases Matemáticas A2-Noturno (São Bernardo 
do Campo)","quarta das 19:00 às 21:00, sala A2-S102-SB, 
semanal , sexta das 21:00 às 23:00, sala A2-S102-
SB, semanal",0,ANDRE RICARDO OLIVEIRA DA FONSECA
BC0003,"Bases Matemáticas B-diurno (São Bernardo do 
Campo)","quarta das 10:00 às 12:00, sala A1-S201-SB, 
semanal , sexta das 08:00 às 10:00, sala A1-S201-
SB, semanal",0,MAURICIO FIRMINO SILVA LIMA
BC0003,"Bases Matemáticas B-Noturno (São Bernardo 
do Campo)","quarta das 21:00 às 23:00, sala A1-S201-SB, 
semanal , sexta das 19:00 às 21:00, sala A1-S201-
SB, semanal",0,EDUARDO GUERON
EN2324,"Biossegurança A-diurno (São Bernardo do 
Campo)","quarta das 10:00 às 12:00, sala A2-S205-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S205-
SB, semanal",0,CHRISTIANE BERTACHINI LOMBELLO
BC1499,"Cálculo Numérico A-diurno (São Bernardo do 
Campo)","segunda das 14:00 às 16:00, sala A2-S202-SB, 
semanal , quarta das 16:00 às 18:00, sala A2-
S202-SB, semanal",0,ANTONIO SERGIO MUNHOZ
BC1499,"Cálculo Numérico A-Noturno (São Bernardo do 
Campo)","segunda das 21:00 às 23:00, sala A2-S305-SB, 
semanal , quarta das 19:00 às 21:00, sala A2-
S305-SB, semanal",0,ANTONIO SERGIO MUNHOZ
BC0603,"Ciência, Tecnologia e Sociedade A1-diurno (São 
Bernardo do Campo)","segunda das 08:00 às 10:00, sala A2-S106-SB, 
quinzenal I, quarta das 10:00 às 12:00, sala A2-
S106-SB, semanal",0,ANTONIO MARCOS ROSEIRA
BC0603,"Ciência, Tecnologia e Sociedade A1-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala B-A004-SB, 
quinzenal I, quarta das 21:00 às 23:00, sala B-
A004-SB, semanal",0,MANUEL RAMON SOUZA LUZ
BC0603,"Ciência, Tecnologia e Sociedade A2-diurno (São 
Bernardo do Campo)","segunda das 08:00 às 10:00, sala A1-S204-SB, 
quinzenal I, quarta das 10:00 às 12:00, sala A1-
S204-SB, semanal",0,MARIA CARAMEZ CARLOTTO
BC0603,"Ciência, Tecnologia e Sociedade A2-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S205-SB, 
quinzenal I, quarta das 21:00 às 23:00, sala A2-
S205-SB, semanal",0,DEMETRIO GASPARI CIRNE DE TOLEDO
BC0603,"Ciência, Tecnologia e Sociedade B1-Noturno 
(São Bernardo do Campo)","segunda das 21:00 às 23:00, sala A1-S204-SB, 
quinzenal I, quarta das 19:00 às 21:00, sala A1-
S204-SB, semanal",0,MANUEL RAMON SOUZA LUZ
BC0603,"Ciência, Tecnologia e Sociedade B2-Noturno 
(São Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S204-SB, 
quinzenal I, quarta das 19:00 às 21:00, sala A2-
S204-SB, semanal",0,ANGELO MARCOS QUEIROZ PRATES
BC0506,"Comunicação e Redes A-diurno (São Bernardo 
do Campo)","terca das 10:00 às 12:00, sala A1-S206-SB, 
semanal , sexta das 10:00 às 12:00, sala A1-S206-
SB, quinzenal I",0,VALERIO RAMOS BATISTA
BC0506,"Comunicação e Redes A-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A1-S206-SB, 
semanal , sexta das 21:00 às 23:00, sala A1-S206-
SB, quinzenal I",0,VALERIO RAMOS BATISTA
BH1300,"Conflitos Sociais A-diurno (São Bernardo do 
Campo)","quarta das 08:00 às 12:00, sala A2-S302-SB, 
semanal",0,CAMILA CALDEIRA NUNES DIAS
BH1300,"Conflitos Sociais A-Noturno (São Bernardo do 
Campo)","segunda das 19:00 às 23:00, sala A2-S302-SB, 
semanal",0,CAMILA CALDEIRA NUNES DIAS
EN2532,Custos A-diurno (São Bernardo do Campo),"segunda das 10:00 às 12:00, sala A2-S202-SB, 
semanal , terca das 08:00 às 12:00, sala A2-S202-
SB, semanal",0,EVANDIR MEGLIORINI
BH0102,"Desenvolvimento e Sustentabilidade A-diurno 
(São Bernardo do Campo)","terca das 10:00 às 12:00, sala A2-S104-SB, 
semanal , quinta das 08:00 às 10:00, sala A2-S104
SB, semanal",0,NEUSA SERRA
BH0102,"Desenvolvimento e Sustentabilidade A-Noturno
(São Bernardo do Campo)","terca das 21:00 às 23:00, sala A2-S104-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S104
SB, semanal",0,OLYMPIO BARBANTI JUNIOR
BH0102,"Desenvolvimento e Sustentabilidade B-diurno 
(São Bernardo do Campo)","terca das 08:00 às 10:00, sala A2-S103-SB, 
semanal , quinta das 10:00 às 12:00, sala A2-S103
SB, semanal",0,LUIS ROBERTO DE PAULA
BH0102,"Desenvolvimento e Sustentabilidade B-Noturno 
(São Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S103-SB, 
semanal , quinta das 21:00 às 23:00, sala A2-S103
SB, semanal",0,VANESSA LUCENA EMPINOTTI
CS3401,"Desenvolvimento Humano e Pobreza Urbana A-
diurno (São Bernardo do Campo)","segunda das 14:00 às 16:00, sala A2-S309-SB, 
semanal , quarta das 14:00 às 16:00, sala A2-
S309-SB, semanal",0,LEONARDO FREIRE DE MELLO
EN2520,"Desenvolvimento Integrado do Produto A-
Noturno (São Bernardo do Campo)","sexta das 19:00 às 23:00, sala A2-S208-SB, 
semanal",0,FERNANDO GASI
BC1627,Didática A-diurno (São Bernardo do Campo),"sexta das 08:00 às 12:00, sala A1-S102-SB, 
semanal",0,ELIZABETE CRISTINA COSTA RENDERS
BC1627,Didática A-Noturno (São Bernardo do Campo),"quarta das 19:00 às 23:00, sala A1-S103-SB, 
semanal",0,ELIZABETE CRISTINA COSTA RENDERS
CS3303,"Dinâmica dos Investimentos Produtivos 
Internacionais A-diurno (São Bernardo do 
Campo)","segunda das 10:00 às 12:00, sala A2-S307-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S307-
SB, semanal",0,CRISTINA FROES DE BORJA REIS
CS3303,"Dinâmica dos Investimentos Produtivos 
Internacionais A-Noturno (São Bernardo do 
Campo)","segunda das 21:00 às 23:00, sala A2-S307-SB, 
semanal , sexta das 19:00 às 21:00, sala A2-S307-
SB, semanal",0,MARIA CARAMEZ CARLOTTO
EN3202,"Dinâmica Orbital A-diurno (São Bernardo do 
Campo)","quinta das 14:00 às 17:00, sala A2-S307-SB, 
semanal",0,LEONARDO DE OLIVE FERREIRA
BH1136,"Econometria III A1-Noturno (São Bernardo do 
Campo)","terca das 19:00 às 21:00, sala A1-S201-SB, 
semanal","quinta das 21:00 às 23:00, sala A1-L102-SB, 
semanal e sala A1-S204-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1136,"Econometria III A-diurno (São Bernardo do 
Campo)","terca das 08:00 às 10:00, sala A2-S203-SB, 
semanal","quinta das 10:00 às 12:00, sala A1-L101-SB, 
semanal e sala A2-S203-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1136,"Econometria III A-Noturno (São Bernardo do 
Campo)","terca das 19:00 às 21:00, sala A1-S201-SB, 
semanal","quinta das 21:00 às 23:00, sala A1-L101-SB, 
semanal e sala A1-S204-SB","GUILHERME DE OLIVEIRA LIMA CAGLIARI 
MARQUES"
BH1137,"Economia Brasileira Contemporânea III A-
diurno (São Bernardo do Campo)","sexta das 09:00 às 12:00, sala A2-S203-SB, 
semanal",0,Patrícia Cunha
BH1137,"Economia Brasileira Contemporânea III A-
Noturno (São Bernardo do Campo)","sexta das 19:00 às 22:00, sala A2-S106-SB, 
semanal",0,GIORGIO ROMANO SCHUTTE
BH1120,"Economia e Meio Ambiente A-diurno (São 
Bernardo do Campo)","segunda das 10:00 às 12:00, sala A1-S205-SB, 
quinzenal I, sexta das 10:00 às 12:00, sala A1-
S205-SB, semanal",0,MONICA YUKIE KUWAHARA
BH1120,"Economia e Meio Ambiente A-Noturno (São 
Bernardo do Campo)","segunda das 21:00 às 23:00, sala A1-S205-SB, 
quinzenal I, sexta das 21:00 às 23:00, sala A1-
S205-SB, semanal",0,MONICA YUKIE KUWAHARA
BH1115,"Economia Internacional II A-diurno (São 
Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S203-SB, 
semanal , quinta das 08:00 às 10:00, sala A2-S203
SB, semanal",0,PARIS YEROS
BH1115,"Economia Internacional II A-Noturno (São 
Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S201-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S201
SB, semanal",0,PARIS YEROS
EN2521,"Elaboração, Análise e Avaliação de Projetos A-
diurno (São Bernardo do Campo)","sexta das 08:00 às 12:00, sala A2-S202-SB, 
semanal",0,DOUGLAS ALVES CASSIANO
EN3535,"Empreendedorismo A-diurno (São Bernardo do 
Campo)","terca das 14:00 às 16:00, sala A2-S202-SB, 
semanal , quinta das 14:00 às 16:00, sala A2-S202
SB, semanal",0,ANNE CRISTINE CHINELLATO
BC0207,"Energia: Origens, Conversão e Uso A1-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S104-SB, 
semanal",0,REGINA KEIKO MURAKAMI
BC0207,"Energia: Origens, Conversão e Uso A2-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S103-SB, 
semanal",0,DENISE CRIADO PEREIRA DE SOUZA
BC0207,"Energia: Origens, Conversão e Uso A3-Noturno 
(São Bernardo do Campo)","segunda das 19:00 às 21:00, sala A2-S101-SB, 
semanal",0,SERGIO HENRIQUE FERREIRA DE OLIVEIRA
BC0207,"Energia: Origens, Conversão e Uso A-diurno 
(São Bernardo do Campo)","segunda das 10:00 às 12:00, sala A2-S104-SB, 
semanal",0,REGINA KEIKO MURAKAMI
BC0207,"Energia: Origens, Conversão e Uso B2-Noturno 
(São Bernardo do Campo)","segunda das 21:00 às 23:00, sala A2-S104-SB, 
semanal",0,DENISE CRIADO PEREIRA DE SOUZA
BC1713,"Engenharia Econômica A-diurno (São Bernardo 
do Campo)","segunda das 10:00 às 13:00, sala A2-S301-SB, 
semanal",0,EDER DE OLIVEIRA ABENSUR
EN3524,"Engenharia Humana A-Noturno (São Bernardo 
do Campo)","terca das 19:00 às 23:00, sala A2-S202-SB, 
semanal",0,ANNE CRISTINE CHINELLATO
EN1004,"Engenharia Unificada II A-Noturno (São 
Bernardo do Campo)",0,"quarta das 18:00 às 21:00, sala A1-L306-SB, 
semanal",0
BH1123,"Estado e Desenvolvimento Econômico no Brasil 
Contemporâneo A-diurno (São Bernardo do 
Campo)","terca das 10:00 às 12:00, sala A1-S205-SB, 
semanal , quinta das 08:00 às 10:00, sala A1-S205
SB, semanal",0,GIORGIO ROMANO SCHUTTE
BH1123,"Estado e Desenvolvimento Econômico no Brasil 
Contemporâneo A-Noturno (São Bernardo do 
Campo)","terca das 21:00 às 23:00, sala A2-S101-SB, 
semanal , quinta das 19:00 às 21:00, sala A2-S101
SB, semanal",0,GILBERTO MARINGONI DE OLIVEIRA
BH0101,"Estado e Relações de Poder A-diurno (São 
Bernardo do Campo)","terca das 08:00 às 10:00, sala B-A004-SB, 
semanal , quinta das 10:00 às 12:00, sala B-A004-
SB, semanal",0,VITOR EMANUEL MARCHETTI FERRAZ JUNIOR
BH0101,"Estado e Relações de Poder A-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala B-A004-SB, 
semanal , quinta das 21:00 às 23:00, sala B-A004-
SB, semanal",0,SIMONE DINIZ
BH0101,"Estado e Relações de Poder B-Noturno (São 
Bernardo do Campo)","terca das 21:00 às 23:00, sala A1-S204-SB, 
semanal , quinta das 19:00 às 21:00, sala A1-S204
SB, semanal",0,SIMONE DINIZ
NH4510,"Estágio Supervisionado em Filosofia III A-Diurno
(São Bernardo)",0,"Segunda das 11:00 às 13:00, semanal, sala A1-
S102-SB",0
BH1214,"Estética: Perspectivas Contemporâneas A-
diurno (São Bernardo do Campo)","terca das 08:00 às 12:00, sala A1-S101-SB, 
semanal",0,MARINE DE SOUZA PEREIRA
BH1214,"Estética: Perspectivas Contemporâneas A-
Noturno (São Bernardo do Campo)","quarta das 19:00 às 23:00, sala A1-S101-SB, 
semanal",0,MARINE DE SOUZA PEREIRA
BC0102,"Estrutura da Matéria A1-diurno (São Bernardo 
do Campo)","terca das 08:00 às 10:00, sala A2-S102-SB, 
semanal , sexta das 08:00 às 10:00, sala A2-S102-
SB, quinzenal II",0,RODRIGO LUIZ OLIVEIRA RODRIGUES CUNHA
BC0102,"Estrutura da Matéria A1-Noturno (São 
Bernardo do Campo)","terca das 19:00 às 21:00, sala A2-S201-SB, 
semanal , sexta das 19:00 às 21:00, sala A2-S201-
SB, quinzenal II",0,Prof. Visitante 2 Química
